id,name,category_id
1,Absinthe,1
2,Arak,1
3,Brandy,1
4,Gin,1
5,Rum,1
6,Light rum,1
7,Gold rum,1
8,Dark rum,1
9,Spiced rum,1
10,Tequila,1
11,Mezcal,1
12,Tequila anejo,1
13,Tequila blanco,1
14,Tequila joven,1
15,Tequila reposado,1
16,Vodka,1
17,Whiskey,1
18,Bourbon,1
19,Irish whiskey,1
20,Rye,1
21,Scotch whiskey,1
22,Amaretto,2
23,Amaro,2
24,Aperol,2
25,Baileys,2
26,Benedictine,2
27,Campari,2
28,Green Chartreuse,2
29,Yellow Chartreuse,2
30,Cointreau,2
31,Crème de cacao,2
32,Crème de cassis,2
33,Crème de menthe,2
34,Crème de mûre,2
35,Crème de violet,2
36,Fernet,2
37,Frangelica,2
38,Grand Marnier,2
39,Kahlua,2
40,Pastis,2
41,Pimm's,2
42,Sambuca,2
43,Triple Sec,2
44,Dry vermouth,3
45,Sweet vermouth,3
46,Champaign,3
47,Red wine,3
48,White wine,3
49,IPA,4
50,Lager,4
51,Pilsner,4
52,Porter,4
53,Stout,4
54,Wheat beer,4
55,Bitters,5
56,Angostura aromatic bitters,5
57,Peychaud's aromatic bitters,5
58,Chocolate bitters,5
59,Orange bitters,5
60,Lemon juice,6
61,Lime juice,6
62,Cranberry juice,6
63,Grapefruit juice,6
64,Orange juice,6
65,Pineapple juice,6
66,Club soda,7
67,Soda water,7
68,Tonic water,7
69,Cola,7
70,Ginger ale,7
71,Ginger beer,7
72,Root beer,7
73,Simple syrup,8
74,Sugar,8
75,Grenadine,8
76,Demerara syrup,8
77,Ginger syrup,8
78,Agave syrup,8
79,Cinnamon syrup,8
80,Honey syrup,8
81,Orgeat,8
82,Raspberry syrup,8
83,Basil,9
84,Mint,9
85,Oregano,9
86,Rosemary,9
87,Thyme,9
88,Eggs,10
